trade_number,direction,entry_time,entry_price,exit_time,exit_price,duration_minutes,stop_loss,profit_target,position_size,gross_pnl,net_pnl,pnl_percentage,transaction_costs,is_winner,exit_reason,triggered_by,risk_amount,reward_amount,position_high,position_low,baseline_before,baseline_after,cumulative_pnl,running_win_rate,entry_time_str,exit_time_str,account_balance_before,account_balance_after
1,LONG,2008-01-03 10:00:00,1452.59,2008-01-03 10:05:00,1453.46,5.00,1450.41,1453.46,4.59,80.00,75.00,15.00,5.00,True,PROFIT_TARGET,HIGH 1455.74 >= TARGET 1453.46,200.00,80.00,1455.74,1452.27,1447.55,1453.46,75.00,100.00,01/03 10:00,01/03 10:05,10000.00,10075.00
2,LONG,2008-01-03 10:05:00,1455.58,2008-01-03 10:10:00,1453.40,5.00,1453.40,1456.45,4.61,-201.50,-206.50,-41.30,5.00,False,STOP_LOSS,LOW 1453.34 <= STOP 1453.40,201.50,80.60,1455.58,1453.34,1453.46,1453.40,-131.50,50.00,01/03 10:05,01/03 10:10,10075.00,9868.50
3,SHORT,2008-01-03 10:15:00,1451.82,2008-01-03 10:20:00,1450.95,5.00,1454.00,1450.95,4.53,78.95,73.95,14.79,5.00,True,PROFIT_TARGET,LOW 1450.41 <= TARGET 1450.95,197.37,78.95,1452.44,1450.41,1453.40,1450.95,-57.55,66.67,01/03 10:15,01/03 10:20,9868.50,9942.45
4,LONG,2008-01-03 10:25:00,1451.21,2008-01-03 10:30:00,1452.08,5.00,1449.03,1452.08,4.57,79.54,74.54,14.91,5.00,True,PROFIT_TARGET,HIGH 1452.94 >= TARGET 1452.08,198.85,79.54,1452.94,1450.70,1450.95,1452.08,16.99,75.00,01/03 10:25,01/03 10:30,9942.45,10016.99
5,LONG,2008-01-03 10:30:00,1452.94,2008-01-03 10:35:00,1453.81,5.00,1450.76,1453.81,4.60,80.14,75.14,15.03,5.00,True,PROFIT_TARGET,HIGH 1453.98 >= TARGET 1453.81,200.34,80.14,1453.98,1450.38,1452.08,1453.81,92.12,80.00,01/03 10:30,01/03 10:35,10016.99,10092.12
6,SHORT,2008-01-03 10:35:00,1450.97,2008-01-03 10:40:00,1450.10,5.00,1453.15,1450.10,4.64,80.74,75.74,15.15,5.00,True,PROFIT_TARGET,LOW 1449.27 <= TARGET 1450.10,201.84,80.74,1451.58,1449.27,1453.81,1450.10,167.86,83.33,01/03 10:35,01/03 10:40,10092.12,10167.86
7,SHORT,2008-01-03 10:40:00,1449.42,2008-01-03 10:55:00,1448.55,15.00,1451.59,1448.55,4.68,81.34,76.34,15.27,5.00,True,PROFIT_TARGET,LOW 1448.31 <= TARGET 1448.55,203.36,81.34,1450.85,1448.31,1450.10,1448.55,244.20,85.71,01/03 10:40,01/03 10:55,10167.86,10244.20
8,LONG,2008-01-03 10:55:00,1450.08,2008-01-03 11:00:00,1450.95,5.00,1447.90,1450.95,4.71,81.95,76.95,15.39,5.00,True,PROFIT_TARGET,HIGH 1451.71 >= TARGET 1450.95,204.88,81.95,1451.71,1450.01,1448.55,1450.95,321.16,87.50,01/03 10:55,01/03 11:00,10244.20,10321.16
9,LONG,2008-01-03 11:00:00,1451.71,2008-01-03 11:10:00,1452.58,10.00,1449.53,1452.58,4.74,82.57,77.57,15.51,5.00,True,PROFIT_TARGET,HIGH 1453.68 >= TARGET 1452.58,206.42,82.57,1453.68,1450.78,1450.95,1452.58,398.73,88.89,01/03 11:00,01/03 11:10,10321.16,10398.73
10,SHORT,2008-01-03 11:10:00,1451.70,2008-01-03 11:20:00,1453.88,10.00,1453.88,1450.83,4.78,-207.97,-212.97,-42.59,5.00,False,STOP_LOSS,HIGH 1454.11 >= STOP 1453.88,207.97,83.19,1454.11,1451.12,1452.58,1453.88,185.75,80.00,01/03 11:10,01/03 11:20,10398.73,10185.75
11,SHORT,2008-01-03 11:20:00,1452.99,2008-01-03 11:30:00,1452.12,10.00,1455.17,1452.12,4.67,81.49,76.49,15.30,5.00,True,PROFIT_TARGET,LOW 1451.76 <= TARGET 1452.12,203.72,81.49,1453.52,1451.76,1453.88,1452.12,262.24,81.82,01/03 11:20,01/03 11:30,10185.75,10262.24
12,LONG,2008-01-03 11:30:00,1453.01,2008-01-03 11:40:00,1453.88,10.00,1450.83,1453.88,4.71,82.10,77.10,15.42,5.00,True,PROFIT_TARGET,HIGH 1454.11 >= TARGET 1453.88,205.24,82.10,1454.11,1451.53,1452.12,1453.88,339.34,83.33,01/03 11:30,01/03 11:40,10262.24,10339.34
13,SHORT,2008-01-03 11:40:00,1453.24,2008-01-03 12:10:00,1455.42,30.00,1455.42,1452.37,4.74,-206.79,-211.79,-42.36,5.00,False,STOP_LOSS,HIGH 1455.68 >= STOP 1455.42,206.79,82.71,1455.68,1453.02,1453.88,1455.42,127.55,76.92,01/03 11:40,01/03 12:10,10339.34,10127.55
14,SHORT,2008-01-03 12:20:00,1455.11,2008-01-03 12:40:00,1454.24,20.00,1457.29,1454.24,4.64,81.02,76.02,15.20,5.00,True,PROFIT_TARGET,LOW 1452.74 <= TARGET 1454.24,202.55,81.02,1456.80,1452.74,1455.42,1454.24,203.57,78.57,01/03 12:20,01/03 12:40,10127.55,10203.57
15,SHORT,2008-01-03 12:40:00,1453.07,2008-01-03 13:00:00,1452.20,20.00,1455.25,1452.20,4.68,81.63,76.63,15.33,5.00,True,PROFIT_TARGET,LOW 1452.18 <= TARGET 1452.20,204.07,81.63,1454.29,1452.18,1454.24,1452.20,280.20,80.00,01/03 12:40,01/03 13:00,10203.57,10280.20
16,LONG,2008-01-03 13:00:00,1452.50,2008-01-03 13:55:00,1450.32,55.00,1450.32,1453.37,4.72,-205.60,-210.60,-42.12,5.00,False,STOP_LOSS,LOW 1449.91 <= STOP 1450.32,205.60,82.24,1452.84,1449.91,1452.20,1450.32,69.59,75.00,01/03 13:00,01/03 13:55,10280.20,10069.59
17,SHORT,2008-01-03 13:55:00,1449.97,2008-01-03 14:10:00,1449.10,15.00,1452.14,1449.10,4.63,80.56,75.56,15.11,5.00,True,PROFIT_TARGET,LOW 1448.46 <= TARGET 1449.10,201.39,80.56,1451.11,1448.46,1450.32,1449.10,145.15,76.47,01/03 13:55,01/03 14:10,10069.59,10145.15
