# packages in environment at /home/kmm/miniconda3/envs/alfa-class-env:
#
# Name                           Version          Build                    Channel
_libgcc_mutex                    0.1              conda_forge              conda-forge
_openmp_mutex                    4.5              2_gnu                    conda-forge
_x86_64-microarch-level          3                2_skylake                conda-forge
absl-py                          2.3.1            pyhd8ed1ab_0             conda-forge
alsa-lib                         1.2.14           hb9d3cd8_0               conda-forge
altair                           5.5.0            pypi_0                   pypi
annotated-types                  0.7.0            pypi_0                   pypi
anyio                            4.9.0            pyh29332c3_0             conda-forge
argon2-cffi                      25.1.0           pyhd8ed1ab_0             conda-forge
argon2-cffi-bindings             21.2.0           py312h66e93f0_5          conda-forge
arrow                            1.3.0            pyhd8ed1ab_1             conda-forge
asttokens                        3.0.0            pyhd8ed1ab_1             conda-forge
astunparse                       1.6.3            pyhd8ed1ab_3             conda-forge
async-lru                        2.0.5            pyh29332c3_0             conda-forge
attrs                            25.3.0           pyh71513ae_0             conda-forge
babel                            2.17.0           pyhd8ed1ab_0             conda-forge
beautifulsoup4                   4.13.4           pyha770c72_0             conda-forge
black                            25.1.0           pyh866005b_0             conda-forge
bleach                           6.2.0            pyh29332c3_4             conda-forge
bleach-with-css                  6.2.0            h82add2a_4               conda-forge
blinker                          1.9.0            pypi_0                   pypi
bokeh                            3.7.3            pyhd8ed1ab_0             conda-forge
brotli                           1.1.0            hb9d3cd8_3               conda-forge
brotli-bin                       1.1.0            hb9d3cd8_3               conda-forge
brotli-python                    1.1.0            py312h2ec8cdc_3          conda-forge
bzip2                            1.0.8            h4bc722e_7               conda-forge
c-ares                           1.34.5           hb9d3cd8_0               conda-forge
ca-certificates                  2025.7.14        hbd8a1cb_0               conda-forge
cached-property                  1.5.2            hd8ed1ab_1               conda-forge
cached_property                  1.5.2            pyha770c72_1             conda-forge
cachetools                       6.1.0            pypi_0                   pypi
cairo                            1.18.4           h3394656_0               conda-forge
certifi                          2025.7.14        pyhd8ed1ab_0             conda-forge
cffi                             1.17.1           py312h06ac9bb_0          conda-forge
charset-normalizer               3.4.2            pyhd8ed1ab_0             conda-forge
click                            8.2.1            pyh707e725_0             conda-forge
colorama                         0.4.6            pyhd8ed1ab_1             conda-forge
comm                             0.2.2            pyhd8ed1ab_1             conda-forge
contourpy                        1.3.2            py312h68727a3_0          conda-forge
cycler                           0.12.1           pyhd8ed1ab_1             conda-forge
cyrus-sasl                       2.1.28           hd9c7081_0               conda-forge
dbus                             1.16.2           h3c4dab8_0               conda-forge
debugpy                          1.8.15           py312h8285ef7_0          conda-forge
decorator                        5.2.1            pyhd8ed1ab_0             conda-forge
defusedxml                       0.7.1            pyhd8ed1ab_0             conda-forge
double-conversion                3.3.1            h5888daf_0               conda-forge
et_xmlfile                       2.0.0            pyhd8ed1ab_1             conda-forge
exceptiongroup                   1.3.0            pyhd8ed1ab_0             conda-forge
executing                        2.2.0            pyhd8ed1ab_0             conda-forge
flake8                           7.3.0            pyhd8ed1ab_0             conda-forge
flatbuffers                      24.12.23         h8f4948b_0               conda-forge
font-ttf-dejavu-sans-mono        2.37             hab24e00_0               conda-forge
font-ttf-inconsolata             3.000            h77eed37_0               conda-forge
font-ttf-source-code-pro         2.038            h77eed37_0               conda-forge
font-ttf-ubuntu                  0.83             h77eed37_3               conda-forge
fontconfig                       2.15.0           h7e30c49_1               conda-forge
fonts-conda-ecosystem            1                0                        conda-forge
